Energy,Stopping_power
1.0,260.8
1.25,222.9
1.5,195.7
1.75,174.9
2.0,158.6
2.25,145.4
2.5,134.4
2.75,125.1
3.0,117.2
3.5,104.2
4.0,94.04
4.5,85.86
5.0,79.11
5.5,73.43
6.0,68.58
6.5,64.38
7.0,60.71
7.5,57.47
8.0,54.6
8.5,52.02
9.0,49.69
9.5,47.59
10.0,45.67
12.5,38.15
15.0,32.92
17.5,29.05
20.0,26.07
25.0,21.75
27.5,20.13
30.0,18.76
32.5,17.66
35.0,16.56
40.0,14.88
45.0,13.54
50.0,12.45
55.0,11.54
60.0,10.78
65.0,10.13
70.0,9.559
75.0,9.063
80.0,8.625
85.0,8.236
90.0,7.888
95.0,7.573
100.0,7.289
125.0,6.192
150.0,5.445
175.0,4.903
200.0,4.492
225.0,4.17
250.0,3.911
275.0,3.698
300.0,3.52
350.0,3.241
400.0,3.032
450.0,2.871
500.0,2.743
550.0,2.64
600.0,2.556
650.0,2.485
700.0,2.426
750.0,2.376
800.0,2.333
850.0,2.296
900.0,2.264
950.0,2.236
1000.0,2.211
1500.0,2.07
2000.0,2.021
2500.0,2.004
3000.0,2.001
4000.0,2.012
5000.0,2.031
6000.0,2.052
7000.0,2.072
8000.0,2.091
9000.0,2.109
10000.0,2.126
